1,molecule,Formaldehyde,"4.0E-7, 4.0E-7","6( 5, 1)- 6( 5, 2)",-19.9242,,line_bottom,line_bottom2,CDMS
178,NH3 v=0,Ammonia,"0.6951515, 0.6951515",25( 8)0a-25( 8)0s,-19.4509,,8586.90099,8586.93435,JPL
179,H2CO,Formaldehyde,"0.6972871, 0.6972871","51( 8,43)-51( 8,44)",-15.6085,,5367.53396,5367.56742,CDMS
180,NH3 v=0,Ammonia,"0.7466674000000001, 0.7466674",23( 1)0a-23( 1)0s,-19.6797,,7571.40368,7571.43951,JPL
181,NH3 v=0,Ammonia,"0.7685358, 0.7685358",23( 2)0a-23( 2)0s,-19.0321,,7558.22024,7558.25713,JPL
182,H2CO,Formaldehyde,"0.7812627, 0.7812627","42( 7,35)-42( 7,36)",-12.6838,,3725.23838,3725.27587,CDMS
183,H2CO,Formaldehyde,"0.7832948, 0.7832948","33( 6,27)-33( 6,28)",-11.2413,,2382.67903,2382.71662,CDMS
184,NH3 v=0,Ammonia,"0.8095826, 0.8095826",25( 9)0a-25(-9)0s,-18.7976,,8512.57621,8512.61507,JPL
185,NH3 v=0,Ammonia,"0.8224659000000001, 0.8224659",26(11)0a-26(11)0s,-19.6602,,9020.89447,9020.93395,JPL
186,HDO,Water,"0.8246706, 0.8246706","3( 3, 0)- 3( 3, 1)",-7.6397,,335.2672,335.30677,JPL
187,CH3OH vt = 0-2,Methanol,"0.83428, 0.83428",1( 1) - - 1( 1) + vt=0,-9.251,,16.84079,16.88083,JPL
188,NH3 v=0,Ammonia,"0.845067, 0.845067",24( 7)0a-24( 7)0s,-18.5079,,7994.17261,7994.21317,JPL
189,NH3 v=0,Ammonia,"0.8534885000000001, 0.8534885",23( 4)0a-23( 4)0s,-18.2548,,7505.27974,7505.3207,JPL
190,CH3OH vt = 0-2,Methanol,"0.8597530000000001, 0.859753",18( 2) - -18( 2) + vt=1,-10.6524,,694.23609,694.27735,JPL
